timestamp,sensor_name,sensor_state,activity_name
2009-02-02 07:15:16.575809,M08,OFF,Meal_Preparation
2009-02-02 07:15:16.777119,M17,OFF,Meal_Preparation
2009-02-02 07:15:23.230998,M18,OFF,Meal_Preparation
2009-02-02 07:15:26.291319,M15,ON,Meal_Preparation
2009-02-02 07:15:28.773668,M17,ON,Meal_Preparation
2009-02-02 07:15:33.481149,M17,OFF,Meal_Preparation
2009-02-02 07:15:34.309459,D09,OPEN,Meal_Preparation
2009-02-02 07:15:38.707649,M16,ON,Meal_Preparation
2009-02-02 07:18:37.209468,M16,OFF,Meal_Preparation
2009-02-02 07:18:41.225499,M18,ON,Meal_Preparation
2009-02-02 07:18:45.739599,M16,ON,Meal_Preparation
2009-02-02 07:18:45.989959,M31,OFF,Meal_Preparation
2009-02-02 07:18:46.227728,AD1-A,2.83262,Meal_Preparation
2009-02-02 07:18:58.734068,M17,ON,Meal_Preparation
2009-02-02 07:19:02.660378,M16,OFF,Meal_Preparation
2009-02-02 07:19:04.346567,M18,ON,Meal_Preparation
2009-02-02 07:19:05.285548,AD1-B,0.515477,Meal_Preparation
2009-02-02 07:19:06.343858,M18,ON,Meal_Preparation
2009-02-02 07:19:14.114167,M16,ON,Meal_Preparation
2009-02-02 07:19:14.837246,M31,OFF,Meal_Preparation
2009-02-02 07:19:14.984585,M17,ON,Meal_Preparation
2009-02-02 07:19:15.294595,AD1-B,0.502039,Meal_Preparation
2009-02-02 07:19:18.406576,M16,ON,Meal_Preparation
2009-02-02 07:19:21.268976,M16,OFF,Meal_Preparation
2009-02-02 07:19:23.106845,M17,OFF,Meal_Preparation
2009-02-02 07:19:26.022915,M16,ON,Meal_Preparation
2009-02-02 07:19:28.861326,M18,ON,Meal_Preparation
2009-02-02 07:19:29.330276,M15,ON,Meal_Preparation
2009-02-02 07:19:29.618686,M17,OFF,Meal_Preparation
2009-02-02 07:19:32.005806,M17,ON,Meal_Preparation
2009-02-02 07:19:35.709045,M16,ON,Meal_Preparation
2009-02-02 07:19:37.218415,M17,OFF,Meal_Preparation
2009-02-02 07:19:43.683274,M13,OFF,Meal_Preparation
2009-02-02 07:19:45.373155,M09,ON,Meal_Preparation
2009-02-02 07:19:45.767945,AD1-B,0.490593,Meal_Preparation
2009-02-02 07:20:23.656564,AD1-A,2.88004,Meal_Preparation
2009-02-02 07:20:23.805143,M17,OFF,Meal_Preparation
2009-02-02 07:20:26.527883,M17,ON,Meal_Preparation
2009-02-02 07:20:28.029133,M18,OFF,Meal_Preparation
2009-02-02 07:20:31.871903,AD1-B,0.492039,Meal_Preparation
2009-02-02 07:20:36.415663,M51,OFF,Meal_Preparation
2009-02-02 07:20:44.438623,M16,ON,Meal_Preparation
2009-02-02 07:20:45.023543,M16,OFF,Meal_Preparation
2009-02-02 07:20:46.624772,AD1-A,2.82215,Meal_Preparation
2009-02-02 07:20:47.575812,M18,ON,Meal_Preparation
2009-02-02 07:20:55.783453,M17,OFF,Meal_Preparation
2009-02-02 07:20:57.145044,M05,ON,Meal_Preparation
2009-02-02 07:21:01.889743,M19,OFF,Meal_Preparation
2009-02-02 07:21:06.273893,M17,ON,Meal_Preparation
2009-02-02 07:21:09.805014,M17,ON,Meal_Preparation
2009-02-02 07:21:11.240313,M14,OFF,Meal_Preparation
2009-02-02 07:21:12.714443,M18,ON,Meal_Preparation
2009-02-02 07:21:13.346953,M17,OFF,Meal_Preparation
2009-02-02 07:21:16.058234,M16,ON,Meal_Preparation
2009-02-02 07:21:17.289565,M14,OFF,Meal_Preparation
2009-02-02 07:21:17.960615,M31,ON,Meal_Preparation
2009-02-02 07:21:18.211665,M15,ON,Meal_Preparation
2009-02-02 07:21:47.599035,M17,ON,Meal_Preparation
2009-02-02 07:21:50.431775,M17,ON,Meal_Preparation
2009-02-02 07:21:53.857416,M17,OFF,Meal_Preparation
2009-02-02 07:21:54.986387,M10,OFF,Meal_Preparation
2009-02-02 07:21:57.881438,M17,OFF,Meal_Preparation
2009-02-02 07:21:58.680758,M16,ON,Meal_Preparation
2009-02-02 07:22:01.241688,D09,OPEN,Meal_Preparation
2009-02-02 07:22:02.042047,M14,OFF,Meal_Preparation
2009-02-02 07:22:11.386768,D08,OPEN,Meal_Preparation
2009-02-02 08:41:26.158289,M21,ON,Meal_Preparation
2009-02-02 08:41:26.468379,M16,ON,Meal_Preparation
2009-02-02 08:41:27.051819,M08,ON,Meal_Preparation
2009-02-02 08:41:28.928229,M16,OFF,Meal_Preparation
2009-02-02 08:41:29.218469,M14,OFF,Meal_Preparation
2009-02-02 08:41:30.389439,M17,OFF,Meal_Preparation
2009-02-02 08:41:31.419879,M16,OFF,Meal_Preparation
2009-02-02 08:41:33.502650,M17,OFF,Meal_Preparation
2009-02-02 08:41:35.981210,M17,ON,Meal_Preparation
2009-02-02 08:41:52.759559,M18,OFF,Meal_Preparation
2009-02-02 08:41:52.891130,AD1-A,2.81668,Meal_Preparation
2009-02-02 08:41:53.056061,AD1-A,2.90411,Meal_Preparation
2009-02-02 08:42:09.069931,D08,OPEN,Meal_Preparation
2009-02-02 08:42:11.097610,AD1-B,0.478757,Meal_Preparation
2009-02-02 08:42:11.742310,AD1-A,2.85176,Meal_Preparation
2009-02-02 08:42:14.106640,M15,OFF,Meal_Preparation
2009-02-02 08:42:26.147121,M18,ON,Meal_Preparation
2009-02-02 08:42:29.261882,D09,OPEN,Meal_Preparation
2009-02-02 08:42:30.126561,M16,ON,Meal_Preparation
2009-02-02 08:42:31.131681,M14,OFF,Meal_Preparation
2009-02-02 08:42:33.352711,M16,OFF,Meal_Preparation
2009-02-02 08:42:35.392122,M17,OFF,Meal_Preparation
2009-02-02 08:42:35.553272,AD1-A,3.3581,Meal_Preparation
2009-02-02 08:42:35.970932,M17,ON,Meal_Preparation
2009-02-02 08:42:39.309452,M18,OFF,Meal_Preparation
2009-02-02 08:42:39.719502,AD1-A,3.03981,Meal_Preparation
2009-02-02 08:42:43.656823,M16,ON,Meal_Preparation
2009-02-02 08:42:44.539082,AD1-A,2.81879,Meal_Preparation
2009-02-02 08:42:47.745382,AD1-B,0.0796497,Meal_Preparation
2009-02-02 08:42:49.467312,M17,ON,Meal_Preparation
2009-02-02 08:42:52.191172,M14,OFF,Meal_Preparation
2009-02-02 08:42:56.325913,M31,OFF,Meal_Preparation
2009-02-02 08:42:59.921292,M08,ON,Meal_Preparation
2009-02-02 08:43:00.207353,M16,ON,Meal_Preparation
2009-02-02 08:43:01.494082,M10,ON,Meal_Preparation
2009-02-02 08:43:01.659933,M14,OFF,Meal_Preparation
2009-02-02 08:43:07.906934,D10,CLOSE,Meal_Preparation
2009-02-02 08:43:10.850944,M17,OFF,Meal_Preparation
2009-02-02 08:43:13.383873,M14,OFF,Meal_Preparation
2009-02-02 08:43:14.577513,M17,ON,Meal_Preparation
2009-02-02 08:43:17.622684,M17,OFF,Meal_Preparation
2009-02-02 08:43:18.099504,M16,OFF,Meal_Preparation
2009-02-02 08:43:18.729584,M16,ON,Meal_Preparation
2009-02-02 08:43:18.946374,M31,OFF,Meal_Preparation
2009-02-02 08:43:19.105184,M17,OFF,Meal_Preparation
2009-02-02 08:43:25.268575,M16,OFF,Meal_Preparation
2009-02-02 08:43:26.875825,M17,OFF,Meal_Preparation
2009-02-02 08:43:38.875556,M13,OFF,Meal_Preparation
2009-02-02 08:44:14.161856,M18,OFF,Meal_Preparation
2009-02-02 08:44:15.981326,M16,OFF,Meal_Preparation
2009-02-02 08:44:16.859045,AD1-B,0.475632,Meal_Preparation
2009-02-02 08:44:18.901025,M17,ON,Meal_Preparation
2009-02-02 08:44:19.067246,M38,ON,Meal_Preparation
2009-02-02 08:44:21.351296,M15,OFF,Meal_Preparation
2009-02-02 08:44:24.087726,M17,ON,Meal_Preparation
2009-02-02 08:44:27.021516,M17,ON,Meal_Preparation
2009-02-02 08:44:29.833055,M17,OFF,Meal_Preparation
2009-02-02 08:44:31.094785,M17,ON,Meal_Preparation
2009-02-02 08:44:34.139715,M05,ON,Meal_Preparation
2009-02-02 08:44:46.564296,M17,OFF,Meal_Preparation
2009-02-02 08:44:49.441177,AD1-A,2.81809,Meal_Preparation
2009-02-02 08:44:49.750567,D09,OPEN,Meal_Preparation
2009-02-02 08:44:49.938118,M17,ON,Meal_Preparation
2009-02-02 08:44:57.013588,AD1-A,2.79278,Meal_Preparation
2009-02-02 08:44:58.293207,M17,OFF,Meal_Preparation
2009-02-02 08:44:59.904636,M15,ON,Meal_Preparation
2009-02-02 08:45:02.595286,AD1-B,0.505242,Meal_Preparation
2009-02-02 08:45:05.965646,M16,ON,Meal_Preparation
2009-02-02 08:45:07.210647,M38,OFF,Meal_Preparation
2009-02-02 08:45:28.056847,M17,OFF,Meal_Preparation
2009-02-02 08:45:32.028167,M06,OFF,Meal_Preparation
2009-02-02 08:45:39.298938,M15,OFF,Meal_Preparation
2009-02-02 08:45:41.538838,M16,ON,Meal_Preparation
2009-02-02 08:46:08.187299,M16,OFF,Meal_Preparation
2009-02-02 08:46:10.124289,M13,ON,Meal_Preparation
2009-02-02 08:46:13.160658,M31,ON,Meal_Preparation
2009-02-02 08:46:16.170708,M14,ON,Meal_Preparation
